delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr
92.18704868,74.46574667,70.79980291,132.3224071,0.535055283,0.562759916,0.696685094,1.051779011,1.302080583,1.218834701
134.655578,123.2900454,116.6489172,188.0981187,0.620149303,0.655456026,0.715879451,1.056932617,1.154366292,1.181439064
239.3533593,153.9671951,124.7587518,204.444656,0.610232394,0.753099631,1.170748916,1.234119393,1.918529609,0.836985009
125.3447695,98.00576874,109.5716689,180.8963663,0.605715146,0.541778537,0.692909272,0.894444428,1.143952362,1.300502956
116.4203358,63.43749635,75.01466478,125.0112205,0.600063454,0.50745442,0.931279091,0.845667931,1.551967687,1.112133305
134.9569594,91.91716898,99.06413097,147.1733149,0.673112045,0.624550511,0.916993407,0.927855199,1.362319117,1.085348284
99.58154693,66.58544708,88.64272401,143.9350177,0.615852385,0.462607697,0.691850729,0.751166526,1.123403506,1.399662689
92.09258446,61.02650734,66.23695581,130.5313529,0.507440966,0.467523748,0.705520799,0.921336233,1.390350497,1.28506711
109.9593306,69.29258379,80.1022306,142.248797,0.563113589,0.487122459,0.773007104,0.865051863,1.372737435,1.240438789
103.7041807,84.44436636,85.86983474,131.4540644,0.653230732,0.642386881,0.788900527,0.983399661,1.207690466,1.155065519
132.963795,115.1365593,90.34525744,134.7729528,0.670351547,0.854300191,0.986576255,1.274406234,1.471729659,0.907367548
121.3141744,103.7090834,77.42870796,145.8590035,0.53084627,0.711022843,0.831722221,1.339413844,1.566785468,0.992287258
144.1575079,152.0439994,90.08409387,163.2075943,0.551960185,0.931598802,0.883276961,1.68780073,1.600254848,0.855133016
119.9653363,70.63332679,72.09009651,125.8500954,0.572825124,0.561249688,0.953239931,0.979792374,1.664102868,1.03851826
